sysname Tnuc
OH_SQU-OCT_d3.0_0.20 200.0
OH_SQU-OCT_d3.2_0.05 204.98
OH_SQU-OCT_d3.2_0.20 200.0
OH_SQU-OCT_d3.5_0.05 200.0
OH_SQU-OCT_d3.5_0.20 200.88
OH_SQU-OCT_d4.0_0.05 200.0
OH_SQU-OCT_d4.0_0.20 200.0
OH_SQU-OCT_d4.5_0.05 200.0
OH_SQU-OCT_d4.5_0.20 201.14
OH_SQU-OCT_d5.0_0.05 200.0
OH_SQU-OCT_d5.0_0.20 200.0
OH_SQU-OCT_d5.5_0.05 200.0
OH_SQU-OCT_d5.5_0.20 200.0
OH_SQU-OCT_d6.0_0.05 200.0
OH_SQU-OCT_d6.0_0.20 200.0
OH_TRI-HEX_d2.0_0.05 215.88
OH_TRI-HEX_d2.0_0.20 217.46
OH_TRI-HEX_d2.5_0.05 241.46
OH_TRI-HEX_d2.5_0.20 249.66
OH_TRI-HEX_d2.7_0.05 231.4
OH_TRI-HEX_d2.7_0.20 209.78
OH_TRI-HEX_d3.0_0.05 200.0
OH_TRI-HEX_d3.0_0.20 201.2
OH_TRI-HEX_d3.2_0.05 200.0
OH_TRI-HEX_d3.2_0.20 200.0
OH_TRI-HEX_d3.5_0.05 200.0
OH_TRI-HEX_d3.5_0.20 200.0
OH_TRI-HEX_d4.0_0.05 200.0
OH_TRI-HEX_d4.0_0.20 200.96
OH_TRI-HEX_d4.5_0.05 200.0
OH_TRI-HEX_d4.5_0.20 200.0
OH_TRI-HEX_d5.0_0.05 200.0
OH_TRI-HEX_d5.0_0.20 201.06
OH_TRI-HEX_d5.5_0.05 200.0
OH_TRI-HEX_d5.5_0.20 200.0
OH_TRI-HEX_d6.0_0.05 200.0
OH_TRI-HEX_d6.0_0.20 200.8
OH_TRI-SQU_d2.0_0.05 208.16
OH_TRI-SQU_d2.0_0.20 217.2
OH_TRI-SQU_d2.5_0.05 214.48
OH_TRI-SQU_d2.5_0.20 211.34
OH_TRI-SQU_d2.7_0.05 205.3
OH_TRI-SQU_d2.7_0.20 200.82
OH_TRI-SQU_d3.0_0.05 201.08
OH_TRI-SQU_d3.0_0.20 201.46
OH_TRI-SQU_d3.2_0.05 200.0
OH_TRI-SQU_d3.2_0.20 201.0
OH_TRI-SQU_d3.5_0.05 200.8
OH_TRI-SQU_d3.5_0.20 200.0
OH_TRI-SQU_d4.0_0.05 200.0
OH_TRI-SQU_d4.0_0.20 201.22
OH_TRI-SQU_d4.5_0.05 206.98
OH_TRI-SQU_d4.5_0.20 200.0
OH_TRI-SQU_d5.0_0.05 200.0
OH_TRI-SQU_d5.0_0.20 200.0
OH_TRI-SQU_d5.5_0.05 200.0
OH_TRI-SQU_d5.5_0.20 200.8
OH_TRI-SQU_d6.0_0.05 200.0
OH_TRI-SQU_d6.0_0.20 200.0
OH_SQ-HE-OC_d2.0_0.05 203.3
OH_SQ-HE-OC_d2.0_0.20 201.06
OH_SQ-HE-OC_d2.5_0.05 246.42
OH_SQ-HE-OC_d2.5_0.20 216.72
OH_SQ-HE-OC_d2.7_0.05 224.86
OH_SQ-HE-OC_d2.7_0.20 201.3
OH_SQ-HE-OC_d3.0_0.05 203.12
OH_SQ-HE-OC_d3.0_0.20 200.0
OH_SQ-HE-OC_d3.2_0.05 200.0
OH_SQ-HE-OC_d3.2_0.20 200.0
OH_SQ-HE-OC_d3.5_0.05 200.0
OH_SQ-HE-OC_d3.5_0.20 200.0
OH_SQ-HE-OC_d4.0_0.05 200.0
OH_SQ-HE-OC_d4.0_0.20 200.0
OH_SQ-HE-OC_d4.5_0.05 200.0
OH_SQ-HE-OC_d4.5_0.20 200.0
OH_SQ-HE-OC_d5.0_0.05 200.66
OH_SQ-HE-OC_d5.0_0.20 200.96
OH_SQ-HE-OC_d5.5_0.05 200.0
OH_SQ-HE-OC_d5.5_0.20 200.0
OH_SQ-HE-OC_d6.0_0.05 200.0
OH_SQ-HE-OC_d6.0_0.20 200.0
OH_TR-SQ-HE_d2.0_0.05 209.24
OH_TR-SQ-HE_d2.0_0.20 209.02
OH_TR-SQ-HE_d2.5_0.05 204.82
OH_TR-SQ-HE_d2.5_0.20 205.56
OH_TR-SQ-HE_d2.7_0.05 211.32
OH_TR-SQ-HE_d2.7_0.20 209.08
OH_TR-SQ-HE_d3.0_0.05 203.08
OH_TR-SQ-HE_d3.0_0.20 200.72
OH_TR-SQ-HE_d3.2_0.05 213.86
OH_TR-SQ-HE_d3.2_0.20 200.0
OH_TR-SQ-HE_d3.5_0.05 201.82
OH_TR-SQ-HE_d3.5_0.20 200.0
OH_TR-SQ-HE_d4.0_0.05 200.0
OH_TR-SQ-HE_d4.0_0.20 200.62
OH_TR-SQ-HE_d4.5_0.05 200.0
OH_TR-SQ-HE_d4.5_0.20 200.0
OH_TR-SQ-HE_d5.0_0.05 200.0
OH_TR-SQ-HE_d5.0_0.20 200.0
OH_TR-SQ-HE_d5.5_0.05 200.0
OH_TR-SQ-HE_d5.5_0.20 200.0
OH_TR-SQ-HE_d6.0_0.05 200.0
OH_TR-SQ-HE_d6.0_0.20 200.0
OH_HEX_d2.6_0.05 263.62
OH_HEX_d2.8_0.05 223.82
OH_HEX_d2.9_0.05 212.14
OH_HEX_d3.1_0.05 206.94
OH_HEX_d3.3_0.05 200.0
OH_HEX_d3.4_0.05 200.96
OH_SQU_d2.6_0.05 207.12
OH_SQU_d2.8_0.05 202.04
OH_SQU_d2.9_0.05 202.68
OH_SQU_d3.1_0.05 202.44
OH_SQU_d3.3_0.05 201.1
OH_SQU_d3.4_0.05 200.0
OH_TRI_d2.6_0.05 250.9
OH_TRI_d2.8_0.05 223.06
OH_TRI_d2.9_0.05 215.24
OH_TRI_d3.1_0.05 201.0
OH_TRI_d3.3_0.05 201.9
OH_TRI_d3.4_0.05 204.64
OH_SQU-OCT_d2.6_0.05 212.0
OH_SQU-OCT_d2.8_0.05 200.0
OH_SQU-OCT_d2.9_0.05 200.0
OH_SQU-OCT_d3.1_0.05 206.86
OH_SQU-OCT_d3.3_0.05 200.0
OH_SQU-OCT_d3.4_0.05 200.0
OH_TRI-HEX_d2.6_0.05 250.48
OH_TRI-HEX_d2.8_0.05 205.14
OH_TRI-HEX_d2.9_0.05 200.0
OH_TRI-HEX_d3.1_0.05 200.0
OH_TRI-HEX_d3.3_0.05 200.8
OH_TRI-HEX_d3.4_0.05 200.0
OH_TRI-SQU_d2.6_0.05 206.2
OH_TRI-SQU_d2.8_0.05 207.82
OH_TRI-SQU_d2.9_0.05 203.66
OH_TRI-SQU_d3.1_0.05 200.0
OH_TRI-SQU_d3.3_0.05 200.0
OH_TRI-SQU_d3.4_0.05 201.56
OH_SQ-HE-OC_d2.6_0.05 238.22
OH_SQ-HE-OC_d2.8_0.05 214.46
OH_SQ-HE-OC_d2.9_0.05 210.06
OH_SQ-HE-OC_d3.1_0.05 201.6
OH_SQ-HE-OC_d3.3_0.05 200.0
OH_SQ-HE-OC_d3.4_0.05 200.0
OH_TR-SQ-HE_d2.6_0.05 211.14
OH_TR-SQ-HE_d2.8_0.05 205.72
OH_TR-SQ-HE_d2.9_0.05 201.26
OH_TR-SQ-HE_d3.1_0.05 210.0
OH_TR-SQ-HE_d3.3_0.05 215.76
OH_TR-SQ-HE_d3.4_0.05 200.88
GRA_1 203.14
GRA_2 217.16
GRA_3 221.74
GRA_4 221.32
GRA_5 221.3
GRA_6 219.48
GRA_7 220.66
GRA_8 214.98
GRA_9 213.8
GRA_10 212.94
GRA_11 202.84
GRA_12 201.32
